task,model,budget,metric,best_method,best_score
gsm8k,gemma,128,em,dora,0.07500000000000001
gsm8k,gemma,512,em,ia3,0.057499999999999996
gsm8k,gemma,2048,em,ia3,0.042499999999999996
gsm8k,qwen,128,em,qlora,0.03
gsm8k,qwen,512,em,qlora,0.035
gsm8k,qwen,2048,em,qlora,0.027500000000000004
squad_v2,gemma,128,f1,ia3,0.5492539682539683
squad_v2,gemma,512,f1,lora,0.5903852971102972
squad_v2,gemma,2048,f1,dora,0.5501652717007124
squad_v2,qwen,128,f1,lora,0.1261910428963645
squad_v2,qwen,512,f1,lora,0.10837620754045896
squad_v2,qwen,2048,f1,dora,0.0920306758897836
dialogsum,gemma,128,rougeL,dora,0.27299676126318173
dialogsum,gemma,512,rougeL,lora,0.31136766254639264
dialogsum,gemma,2048,rougeL,qlora,0.32430543924179167
dialogsum,qwen,128,rougeL,lora,0.21311826706975995
dialogsum,qwen,512,rougeL,qlora,0.22333049451685
dialogsum,qwen,2048,rougeL,dora,0.22965245387648664
