model,method,budget,mean,std,task,metric
gemma,dora,128,0.07500000000000001,0.014142135623730947,gsm8k,em
gemma,dora,512,0.02,0.007071067811865477,gsm8k,em
gemma,dora,2048,0.015,0.0,gsm8k,em
gemma,ia3,128,0.035,0.0,gsm8k,em
gemma,ia3,512,0.057499999999999996,0.0035355339059327385,gsm8k,em
gemma,ia3,2048,0.042499999999999996,0.0035355339059327385,gsm8k,em
gemma,lora,128,0.037500000000000006,0.0035355339059327385,gsm8k,em
gemma,lora,512,0.015,0.0,gsm8k,em
gemma,lora,2048,0.0075,0.003535533905932738,gsm8k,em
gemma,qlora,128,0.0625,0.01060660171779822,gsm8k,em
gemma,qlora,512,0.015,0.0,gsm8k,em
gemma,qlora,2048,0.0175,0.010606601717798213,gsm8k,em
qwen,dora,128,0.0225,0.003535533905932737,gsm8k,em
qwen,dora,512,0.0175,0.0035355339059327394,gsm8k,em
qwen,dora,2048,0.02,0.0,gsm8k,em
qwen,ia3,128,0.015,0.007071067811865476,gsm8k,em
qwen,ia3,512,0.02,0.007071067811865477,gsm8k,em
qwen,ia3,2048,0.025,0.007071067811865473,gsm8k,em
qwen,lora,128,0.0175,0.003535533905932737,gsm8k,em
qwen,lora,512,0.015,0.007071067811865475,gsm8k,em
qwen,lora,2048,0.015000000000000001,0.014142135623730952,gsm8k,em
qwen,qlora,128,0.03,0.014142135623730952,gsm8k,em
qwen,qlora,512,0.035,0.014142135623730945,gsm8k,em
qwen,qlora,2048,0.027500000000000004,0.010606601717798215,gsm8k,em
gemma,dora,128,0.4629141511867907,0.004826288723148327,squad_v2,f1
gemma,dora,512,0.5539981452726019,0.02990875025796726,squad_v2,f1
gemma,dora,2048,0.5501652717007124,0.017679972582596022,squad_v2,f1
gemma,ia3,128,0.5492539682539683,0.0035355339059327017,squad_v2,f1
gemma,ia3,512,0.548420634920635,0.0,squad_v2,f1
gemma,ia3,2048,0.5247301587301587,0.0011785113019776065,squad_v2,f1
gemma,lora,128,0.45292324705962184,0.03075545085923331,squad_v2,f1
gemma,lora,512,0.5903852971102972,0.028598008511405856,squad_v2,f1
gemma,lora,2048,0.5397061081399295,0.02044986867974715,squad_v2,f1
gemma,qlora,128,0.4929444444444444,0.014967093535115314,squad_v2,f1
gemma,qlora,512,0.49974827467218785,0.01017765288366226,squad_v2,f1
gemma,qlora,2048,0.4897223773756568,0.024890615895790804,squad_v2,f1
qwen,dora,128,0.09705854104796235,0.0012595385435370137,squad_v2,f1
qwen,dora,512,0.09184448825000535,0.013649909561859509,squad_v2,f1
qwen,dora,2048,0.0920306758897836,0.003091279141994719,squad_v2,f1
qwen,ia3,128,0.0918149425731499,0.0010327723848570147,squad_v2,f1
qwen,ia3,512,0.08940791316765326,6.53110210560508e-05,squad_v2,f1
qwen,ia3,2048,0.08525766821153649,0.0007664932081477533,squad_v2,f1
qwen,lora,128,0.1261910428963645,0.00881189254195605,squad_v2,f1
qwen,lora,512,0.10837620754045896,0.0012975744643998592,squad_v2,f1
qwen,lora,2048,0.08927313728278005,0.002015714385288189,squad_v2,f1
qwen,qlora,128,0.09472925472621915,0.0002536393011185657,squad_v2,f1
qwen,qlora,512,0.0721937175420113,0.01673698334795556,squad_v2,f1
qwen,qlora,2048,0.0728591490756367,0.011009907346217096,squad_v2,f1
gemma,dora,128,0.27299676126318173,0.0073681240323659,dialogsum,rougeL
gemma,dora,512,0.29614575147189337,0.002649779025107577,dialogsum,rougeL
gemma,dora,2048,0.3168827895931241,0.01921037491404336,dialogsum,rougeL
gemma,ia3,128,0.25328757803898333,0.0017789927659051584,dialogsum,rougeL
gemma,ia3,512,0.29224611836510206,0.00043947558559461483,dialogsum,rougeL
gemma,ia3,2048,0.27857429431855985,0.0013691970244594858,dialogsum,rougeL
gemma,lora,128,0.2662393720907814,0.002068298166302355,dialogsum,rougeL
gemma,lora,512,0.31136766254639264,0.0017951343984021091,dialogsum,rougeL
gemma,lora,2048,0.306934758432319,0.006579703047584404,dialogsum,rougeL
gemma,qlora,128,0.2716961938522221,0.0021308894418498032,dialogsum,rougeL
gemma,qlora,512,0.30776069727594985,0.003915612976188267,dialogsum,rougeL
gemma,qlora,2048,0.32430543924179167,0.010389575482561546,dialogsum,rougeL
qwen,dora,128,0.19429849252568626,0.001471055330854089,dialogsum,rougeL
qwen,dora,512,0.21659409067632107,0.0037043132291343633,dialogsum,rougeL
qwen,dora,2048,0.22965245387648664,0.0016920491169415267,dialogsum,rougeL
qwen,ia3,128,0.1839452860354727,0.0011610207149494324,dialogsum,rougeL
qwen,ia3,512,0.19120975894114478,0.000515957577800903,dialogsum,rougeL
qwen,ia3,2048,0.19767828892746958,0.0013807813026409546,dialogsum,rougeL
qwen,lora,128,0.21311826706975995,0.00012406873369754442,dialogsum,rougeL
qwen,lora,512,0.21069769943140565,0.003935430771590796,dialogsum,rougeL
qwen,lora,2048,0.21549464457155576,0.001060262650015733,dialogsum,rougeL
qwen,qlora,128,0.1917369694306234,0.00015545947965940976,dialogsum,rougeL
qwen,qlora,512,0.22333049451685,0.0010756998716774074,dialogsum,rougeL
qwen,qlora,2048,0.2071449490053029,0.002747834831183014,dialogsum,rougeL
